Date,Hour,ED_Patients
7/27/2018,4,23
7/27/2018,5,20
7/27/2018,6,18
7/27/2018,7,18
7/27/2018,8,18
7/27/2018,9,18
7/27/2018,10,27
7/27/2018,11,30
7/27/2018,12,33
7/27/2018,13,41
7/27/2018,14,48
7/27/2018,15,46
7/27/2018,16,55
7/27/2018,17,54
7/27/2018,18,52
7/27/2018,19,59
7/27/2018,20,57
7/27/2018,21,51
7/27/2018,22,41
7/27/2018,23,41
7/28/2018,0,41
7/28/2018,1,36
7/28/2018,2,29
7/28/2018,3,27
7/28/2018,4,25
7/28/2018,5,23
7/28/2018,6,18
7/28/2018,7,14
7/28/2018,8,9
7/28/2018,9,11
7/28/2018,10,20
7/28/2018,11,30
7/28/2018,12,27
7/28/2018,13,32
7/28/2018,14,37
7/28/2018,15,41
7/28/2018,16,34
7/28/2018,17,37
7/28/2018,18,37
7/28/2018,19,30
7/28/2018,20,26
7/28/2018,21,23
7/28/2018,22,19
7/28/2018,23,20
7/29/2018,0,22
7/29/2018,1,17
7/29/2018,2,12
7/29/2018,3,11
7/29/2018,4,9
7/29/2018,5,6
7/29/2018,6,5
7/29/2018,7,8
7/29/2018,8,13
7/29/2018,9,15
7/29/2018,10,20
7/29/2018,11,27
7/29/2018,12,33
7/29/2018,13,38
7/29/2018,14,41
7/29/2018,15,45
7/29/2018,16,49
7/29/2018,17,47
7/29/2018,18,43
7/29/2018,19,38
7/29/2018,20,42
7/29/2018,21,41
7/29/2018,22,35
7/29/2018,23,32
7/30/2018,0,26
7/30/2018,1,20
7/30/2018,2,20
7/30/2018,3,17
7/30/2018,4,12
7/30/2018,5,11
7/30/2018,6,8
7/30/2018,7,14
7/30/2018,8,20
7/30/2018,9,26
7/30/2018,10,34
7/30/2018,11,43
7/30/2018,12,47
7/30/2018,13,54
7/30/2018,14,54
7/30/2018,15,58
7/30/2018,16,54
7/30/2018,17,50
7/30/2018,18,59
7/30/2018,19,58
7/30/2018,20,59
7/30/2018,21,53
7/30/2018,22,58
7/30/2018,23,49
7/31/2018,0,46
7/31/2018,1,38
7/31/2018,2,35
7/31/2018,3,24
7/31/2018,4,23
7/31/2018,5,18
7/31/2018,6,19
7/31/2018,7,17
7/31/2018,8,15
7/31/2018,9,18
7/31/2018,10,24
7/31/2018,11,32
7/31/2018,12,37
7/31/2018,13,49
7/31/2018,14,48
7/31/2018,15,50
7/31/2018,16,50
7/31/2018,17,65
7/31/2018,18,61
7/31/2018,19,69
7/31/2018,20,63
7/31/2018,21,61
7/31/2018,22,49
7/31/2018,23,45
8/1/2018,0,36
8/1/2018,1,30
8/1/2018,2,30
8/1/2018,3,19
8/1/2018,4,16
8/1/2018,5,13
8/1/2018,6,12
8/1/2018,7,9
8/1/2018,8,12
8/1/2018,9,17
8/1/2018,10,22
8/1/2018,11,31
8/1/2018,12,39
8/1/2018,13,55
8/1/2018,14,53
8/1/2018,15,48
8/1/2018,16,45
8/1/2018,17,45
8/1/2018,18,40
8/1/2018,19,42
8/1/2018,20,44
8/1/2018,21,44
8/1/2018,22,40
8/1/2018,23,36
8/2/2018,0,32
8/2/2018,1,27
8/2/2018,2,28
8/2/2018,3,18
8/2/2018,4,16
8/2/2018,5,16
8/2/2018,6,15
8/2/2018,7,18
8/2/2018,8,19
8/2/2018,9,22
8/2/2018,10,26
8/2/2018,11,34
8/2/2018,12,37
8/2/2018,13,39
8/2/2018,14,37
8/2/2018,15,36
8/2/2018,16,33
8/2/2018,17,35
8/2/2018,18,33
8/2/2018,19,38
8/2/2018,20,35
8/2/2018,21,27
8/2/2018,22,22
8/2/2018,23,12
8/3/2018,0,13
8/3/2018,1,13
8/3/2018,2,17
8/3/2018,3,20
8/3/2018,4,22
8/3/2018,5,21
8/3/2018,6,19
8/3/2018,7,18
8/3/2018,8,22
8/3/2018,9,22
8/3/2018,10,22
8/3/2018,11,26
8/3/2018,12,29
8/3/2018,13,33
8/3/2018,14,35
8/3/2018,15,32
8/3/2018,16,37
8/3/2018,17,39
8/3/2018,18,41
8/3/2018,19,36
8/3/2018,20,31
8/3/2018,21,34
8/3/2018,22,25
8/3/2018,23,17
8/4/2018,0,19
8/4/2018,1,17
8/4/2018,2,15
8/4/2018,3,10
8/4/2018,4,11
8/4/2018,5,9
8/4/2018,6,9
8/4/2018,7,8
8/4/2018,8,11
8/4/2018,9,19
8/4/2018,10,25
8/4/2018,11,27
8/4/2018,12,26
8/4/2018,13,31
8/4/2018,14,36
8/4/2018,15,33
8/4/2018,16,38
8/4/2018,17,37
8/4/2018,18,32
8/4/2018,19,27
8/4/2018,20,22
8/4/2018,21,25
8/4/2018,22,19
8/4/2018,23,16
8/5/2018,0,22
8/5/2018,1,20
8/5/2018,2,14
8/5/2018,4,12
8/5/2018,5,8
8/5/2018,6,8
8/5/2018,7,10
8/5/2018,8,8
8/5/2018,9,11
8/5/2018,10,17
8/5/2018,11,28
8/5/2018,12,38
8/5/2018,13,41
8/5/2018,14,42
8/5/2018,15,44
8/5/2018,16,46
8/5/2018,17,43
8/5/2018,18,41
8/5/2018,19,33
8/5/2018,20,40
8/5/2018,21,34
8/5/2018,22,32
8/5/2018,23,31
8/6/2018,0,23
8/6/2018,1,15
8/6/2018,2,12
8/6/2018,3,9
8/6/2018,4,5
8/6/2018,5,9
8/6/2018,6,9
